Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
Pakistan,548,137.33333333333334,3.99,373,2,won,New Zealand,Wellington,1994-02-17,1,5
West Indies,548,166.0,3.3,548,1,draw,New Zealand,St John's,1996-04-27,1,7
South Africa,548,177.83333333333334,3.08,252,2,won,West Indies,Bridgetown,2005-04-21,1,9
Sri Lanka,548,186.83333333333331,2.93,197,2,draw,England,Colombo (SSC),2007-12-09,1,9
Sri Lanka,547,170.0,3.21,291,2,lost,Australia,Colombo (SSC),1992-08-17,1,8
India,546,155.0,3.52,546,1,draw,West Indies,Nagpur,1994-12-01,1,9
Pakistan,546,114.83333333333331,4.75,412,2,won,Bangladesh,Multan,2001-08-29,1,3
England,546,158.83333333333334,3.43,546,1,draw,West Indies,Port of Spain,2009-03-06,1,6
West Indies,546,181.16666666666663,3.01,3,2,draw,South Africa,Basseterre,2010-06-18,0,10
England,545,163.83333333333334,3.32,383,2,won,Sri Lanka,Birmingham,2002-05-30,0,10
New Zealand,545,152.0,3.58,545,1,won,Bangladesh,Chattogram,2004-10-26,1,6
Afghanistan,545,160.66666666666666,3.39,545,1,won,Zimbabwe,Abu Dhabi,2021-03-10,1,4
Australia,544,139.0,3.91,544,1,won,New Zealand,Hobart,1993-11-26,1,6
Zimbabwe,544,165.0,3.29,544,1,won,Pakistan,Harare,1995-01-31,1,4
West Indies,544,178.66666666666666,3.04,-2,2,draw,England,Port of Spain,2009-03-06,0,10
India,544,133.0,4.09,311,2,won,Bangladesh,Mirpur,2010-01-24,1,8
England,544,120.33333333333331,4.52,477,3,won,India,Nottingham,2011-07-29,0,10
West Indies,543,152.16666666666666,3.56,543,1,draw,South Africa,Georgetown,2005-03-31,1,5
South Africa,543,147.0,3.69,543,1,draw,West Indies,Basseterre,2010-06-18,1,6
Zimbabwe,542,160.0,3.38,542,1,won,Bangladesh,Chattogram,2001-11-15,1,7
Australia,542,139.0,3.89,542,1,won,Sri Lanka,Hobart,2007-11-16,1,5
Pakistan,542,146.0,3.71,214,2,won,England,The Oval,2016-08-11,0,10
India,541,161.0,3.36,541,1,won,Sri Lanka,Bengaluru,1994-01-26,1,6
Sri Lanka,541,111.0,4.87,380,2,won,Bangladesh,Colombo (PSS),2002-07-21,1,9
Sri Lanka,541,125.16666666666669,4.32,342,2,won,Zimbabwe,Harare,2004-05-06,0,10
Bangladesh,541,173.0,3.12,541,1,draw,Sri Lanka,Pallekele,2021-04-21,1,7
